country,year,month,temperature_celsius,wind_kph,precip_mm,humidity,pressure_mb,uv_index
Afghanistan,2024,5,20.305882352941175,11.51764705882353,1.85,38.05882352941177,1010.0,3.764705882352941
Afghanistan,2024,6,25.59,17.11,2.18,24.833333333333332,1004.9,6.5
Afghanistan,2024,7,31.303448275862067,20.731034482758623,0.01,17.93103448275862,998.0,7.758620689655173
Afghanistan,2024,8,30.848387096774193,20.19677419354839,1.15,20.548387096774192,1001.258064516129,7.483870967741935
Afghanistan,2024,9,28.216666666666665,12.223333333333333,0.43000000000000005,13.733333333333333,1004.8,7.0
Afghanistan,2024,10,21.98709677419355,6.461290322580646,3.15,21.70967741935484,1011.8387096774194,4.183870967741935
Afghanistan,2024,11,15.67,4.6466666666666665,0.06,27.466666666666665,1015.9,2.76
Afghanistan,2024,12,7.174193548387097,4.235483870967743,0.01,22.387096774193548,1018.3225806451613,0.6322580645161291
Afghanistan,2025,1,1.3129032258064517,6.961290322580646,2.31,58.87096774193548,1022.8064516129032,0.8548387096774194
Afghanistan,2025,2,4.789285714285714,7.139285714285714,1.42,47.857142857142854,1019.3214285714286,1.6500000000000001
Afghanistan,2025,3,11.993548387096775,6.32258064516129,1.98,33.03225806451613,1015.258064516129,3.5580645161290323
Afghanistan,2025,4,22.986666666666668,6.613333333333333,0.04,18.4,1010.2,7.653333333333333
Afghanistan,2025,5,27.26774193548387,10.783870967741937,4.3500000000000005,17.483870967741936,1005.8064516129032,9.390322580645162
Afghanistan,2025,6,31.013333333333332,12.126666666666667,0.06999999999999999,13.0,1001.8666666666667,10.353333333333333
Afghanistan,2025,7,32.880645161290325,9.67741935483871,0.02,11.741935483870968,998.8387096774194,10.229032258064517
Afghanistan,2025,8,30.480645161290322,6.870967741935484,0.0,15.35483870967742,1003.0,10.825806451612904
Afghanistan,2025,9,26.833333333333332,5.503333333333333,0.0,17.266666666666666,1007.8,8.823333333333332
Afghanistan,2025,10,20.26451612903226,4.380645161290323,0.01,18.258064516129032,1013.7741935483871,6.122580645161291
Afghanistan,2025,11,13.923333333333334,4.1433333333333335,0.0,7.9,1018.4333333333333,4.076666666666666
Afghanistan,2025,12,8.619354838709677,4.006451612903226,0.8,33.74193548387097,1020.7096774193549,2.6129032258064515
Afghanistan,2026,1,1.8266666666666667,4.8566666666666665,2.52,47.06666666666667,1024.1333333333334,2.92
Afghanistan,2026,2,1.6333333333333335,4.683333333333334,0.46,63.5,1027.6666666666667,3.4499999999999997
Albania,2024,5,25.647058823529413,13.076470588235294,5.02,57.529411764705884,1012.2352941176471,5.411764705882353
Albania,2024,6,30.84333333333333,14.346666666666666,1.6,45.766666666666666,1012.9,7.133333333333334
Albania,2024,7,34.63793103448276,18.78965517241379,3.17,37.0,1010.2413793103449,8.172413793103448
Albania,2024,8,34.980645161290326,18.125806451612902,0.69,32.12903225806452,1010.5483870967741,8.129032258064516
Albania,2024,9,27.516666666666666,9.120000000000001,11.68,48.266666666666666,1013.0,6.133333333333334
Albania,2024,10,21.835483870967742,6.135483870967741,4.39,56.806451612903224,1019.5483870967741,3.1580645161290324
Albania,2024,11,13.783333333333333,6.133333333333334,2.59,59.13333333333333,1020.8666666666667,1.21
Albania,2024,12,11.741935483870968,6.77741935483871,9.71,62.58064516129032,1018.4193548387096,1.1064516129032258
Albania,2025,1,13.425806451612903,6.280645161290322,3.2799999999999994,58.96774193548387,1021.1612903225806,1.4161290322580644
Albania,2025,2,12.428571428571429,5.175,0.5700000000000001,52.42857142857143,1023.6071428571429,1.842857142857143
Albania,2025,3,16.067741935483873,7.719354838709678,7.45,51.61290322580645,1016.4193548387096,2.638709677419355
Albania,2025,4,18.403333333333332,8.13,4.32,49.833333333333336,1015.3,4.16
Albania,2025,5,21.664516129032258,8.22258064516129,6.58,50.96774193548387,1013.9677419354839,4.767741935483872
Albania,2025,6,29.323333333333334,7.836666666666667,0.0,38.36666666666667,1016.4666666666667,6.5600000000000005
Albania,2025,7,30.361290322580647,12.077419354838709,0.45999999999999996,36.58064516129032,1011.4516129032259,5.948387096774193
Albania,2025,8,28.22258064516129,8.916129032258064,0.27,44.32258064516129,1013.4193548387096,4.312903225806451
Albania,2025,9,23.373333333333335,6.223333333333333,0.82,60.266666666666666,1016.8,2.6599999999999997
Albania,2025,10,15.170967741935485,5.829032258064516,2.5300000000000002,71.3225806451613,1016.0,0.8290322580645161
Albania,2025,11,12.423333333333334,6.506666666666666,13.68,81.26666666666667,1015.5,0.32
Albania,2025,12,5.306451612903226,5.903225806451613,0.030000000000000002,82.45161290322581,1018.6451612903226,0.17419354838709677
Albania,2026,1,6.609999999999999,9.173333333333334,9.11,76.73333333333333,1011.3,0.14333333333333334
Albania,2026,2,7.6000000000000005,8.183333333333334,0.5700000000000001,81.16666666666667,1004.6666666666666,0.18333333333333335
Algeria,2024,5,26.11764705882353,22.61764705882353,0.01,45.705882352941174,1013.3529411764706,6.0
Algeria,2024,6,27.89,23.71333333333333,0.0,46.733333333333334,1013.8,6.6
Algeria,2024,7,30.29642857142857,16.84642857142857,0.0,53.82142857142857,1013.8928571428571,7.321428571428571
Algeria,2024,8,31.483870967741936,17.580645161290324,0.0,51.74193548387097,1013.1612903225806,7.419354838709677
Algeria,2024,9,28.43,15.01,0.55,50.63333333333333,1015.0333333333333,6.533333333333333
Algeria,2024,10,23.76774193548387,10.425806451612903,0.78,62.12903225806452,1017.1290322580645,2.8451612903225807
Algeria,2024,11,19.44333333333333,9.496666666666666,2.57,66.3,1021.3666666666667,0.9833333333333333
Algeria,2024,12,14.748387096774193,10.332258064516129,1.87,61.58064516129032,1026.5483870967741,1.3741935483870968
Algeria,2025,1,15.019354838709678,13.22258064516129,3.11,63.03225806451613,1022.8064516129032,1.493548387096774
Algeria,2025,2,15.424999999999999,7.921428571428572,1.4200000000000002,65.78571428571429,1023.0,2.1964285714285716
Algeria,2025,3,17.616129032258065,15.070967741935483,1.2999999999999998,60.96774193548387,1014.3870967741935,2.1774193548387095
Algeria,2025,4,19.7,11.743333333333334,2.0,59.13333333333333,1015.5333333333333,2.9166666666666665
Algeria,2025,5,22.274193548387096,11.958064516129031,2.87,60.29032258064516,1016.4193548387096,3.174193548387097
Algeria,2025,6,28.503333333333334,10.463333333333333,0.0,55.1,1017.5333333333333,4.02
Algeria,2025,7,29.34193548387097,12.261290322580644,0.13,55.806451612903224,1015.1612903225806,3.2
Algeria,2025,8,27.712903225806453,9.725806451612904,0.0,55.225806451612904,1015.0,2.2548387096774194
Algeria,2025,9,24.243333333333332,9.053333333333335,0.18,69.26666666666667,1017.4,1.2266666666666666
Algeria,2025,10,19.029032258064515,8.438709677419356,0.15,73.54838709677419,1017.9677419354839,0.43870967741935485
Algeria,2025,11,12.66,12.52,3.57,76.03333333333333,1017.8666666666667,0.08666666666666667
Algeria,2025,12,9.606451612903227,11.387096774193548,2.14,84.58064516129032,1016.8387096774194,0.0
Algeria,2026,1,10.163333333333332,18.183333333333334,6.56,80.86666666666666,1012.9,0.0
Algeria,2026,2,12.700000000000001,16.733333333333334,0.09,69.83333333333333,1007.0,0.0
Andorra,2024,5,12.423529411764704,9.876470588235295,5.9799999999999995,60.88235294117647,1013.0,3.176470588235294
Andorra,2024,6,17.459999999999997,10.673333333333334,5.41,53.2,1014.8666666666667,4.266666666666667
Andorra,2024,7,24.010344827586206,13.072413793103449,3.19,37.44827586206897,1016.2413793103449,6.0
Andorra,2024,8,23.416129032258063,9.180645161290323,4.03,42.16129032258065,1016.2903225806451,5.516129032258065
Andorra,2024,9,14.58,9.94,9.33,55.03333333333333,1015.6666666666666,3.9
Andorra,2024,10,11.593548387096773,8.580645161290322,1.1400000000000001,67.0,1017.3870967741935,1.7645161290322582
Andorra,2024,11,6.1433333333333335,6.846666666666667,2.6100000000000003,74.63333333333334,1022.5,0.6566666666666666
Andorra,2024,12,2.9645161290322584,8.319354838709677,2.17,69.38709677419355,1025.3870967741937,0.9806451612903226
Andorra,2025,1,2.035483870967742,8.025806451612903,3.73,66.48387096774194,1019.4193548387096,0.9580645161290322
Andorra,2025,2,4.128571428571428,6.710714285714286,1.4,67.60714285714286,1021.2142857142857,1.5392857142857144
Andorra,2025,3,1.1806451612903226,9.516129032258064,6.43,82.51612903225806,1013.8709677419355,1.9516129032258065
