Country,Year,Population,Gini_Index,Avg_Income,Top10_Share,Bottom10_Share,Income Group
United States,2000,30072337,0.3331052401870229,37106.73553599196,30.78094564991837,1.0963288689603452,High Income
United States,2001,15189465,0.5087613469157066,16250.105074686931,54.56347518773506,1.441727850579345,Low Income
United States,2002,89001835,0.2290931567085675,40069.586398757485,37.20066628313698,1.374502232375996,High Income
United States,2003,297595139,0.230673393004565,1233.4699952974554,40.45324636957468,4.493423791131903,Lower Middle Income
United States,2004,23680558,0.544657497411952,22950.24806138816,45.34365958582801,3.250804598463562,High Income
United States,2005,102682227,0.3741034664951178,68442.23391481877,38.24640794579403,3.225451538667542,Upper Middle Income
United States,2006,12071500,0.4227329792524335,12117.619187805996,20.372505606660933,2.406539441846828,High Income
United States,2007,12237449,0.5015498776021552,7545.0469512272275,59.20899510715455,2.009907724040699,Lower Middle Income
United States,2008,36032296,0.240045317449634,66697.83488869396,58.4765688900051,1.1975273867549214,Lower Middle Income
United States,2009,249635777,0.338180844110205,45702.22459212712,35.23145755792741,1.902283215469032,Low Income
United States,2010,73966808,0.4829540797121206,34047.402969926894,46.71160012502034,4.021268208983381,Low Income
United States,2011,297467929,0.2532693387515383,61827.06424018384,24.15943650474873,2.0616952764587264,High Income
United States,2012,172936672,0.5545055550076647,69732.71262157579,24.293290166347425,4.1170447045861565,High Income
United States,2013,7756519,0.4893101833492585,63671.53730516369,49.37304836027376,2.5270901180454195,Upper Middle Income
United States,2014,76391581,0.311225374493348,5107.840388022477,54.96948886201242,2.9478634055573765,Low Income
United States,2015,293918826,0.4337254059592998,55019.79385042485,20.142118846116517,2.481316451608729,Lower Middle Income
United States,2016,181468733,0.3126985636942234,60908.04960841475,43.90035359229256,3.221918718042771,Lower Middle Income
United States,2017,149724729,0.4166993317251721,30294.008349112068,29.34601078582699,1.458458710914631,Low Income
United States,2018,169925740,0.3178231938331004,13504.42602217655,35.35625194052277,4.901780141487368,Low Income
United States,2019,127984406,0.2147068218123479,17780.038318272866,41.45400523445053,4.343832592197286,High Income
United States,2020,62925673,0.3849467536683992,43589.33579369067,22.87046994411204,2.4479617927396387,Lower Middle Income
United States,2021,341744580,0.604786096831604,58623.76841789528,46.03372757352536,1.2907521185959543,Low Income
