country,temperature_celsius,precip_mm,wind_kph,humidity
Lao People's Democratic Republic,25.0,1.97,9.0,95.0
Letonia,20.6,1.83,13.3,94.0
Malásia,24.3,1.55,6.5,93.0
Malaysia,30.116876971608832,0.585615141955836,6.441640378548896,70.58044164037855
USA United States of America,24.53333333333333,0.53,12.933333333333332,66.0
Brunei Darussalam,29.224486571879936,0.5202685624012638,9.051974723538704,77.63981042654028
Sierra Leone,26.03565768621236,0.5168304278922345,8.857369255150555,81.29160063391443
Papua New Guinea,26.757345971563982,0.502085308056872,14.543443917851501,83.5039494470774
Nepal,22.9125,0.4908386075949367,6.978639240506329,59.337025316455694
Indonesia,28.088100866824274,0.4874152876280536,10.808195429472025,74.88416075650119
