country,year,month,temperature_celsius,humidity,precip_mm,wind_kph,uv_index
Afghanistan,2024,5,20.305882352941175,38.05882352941177,1.85,11.51764705882353,3.764705882352941
Afghanistan,2024,6,25.59,24.833333333333332,2.18,17.11,6.5
Afghanistan,2024,7,31.303448275862067,17.93103448275862,0.01,20.731034482758623,7.758620689655173
Afghanistan,2024,8,30.848387096774193,20.548387096774192,1.15,20.19677419354839,7.483870967741935
Afghanistan,2024,9,28.216666666666665,13.733333333333333,0.43000000000000005,12.223333333333333,7.0
Afghanistan,2024,10,21.98709677419355,21.70967741935484,3.15,6.461290322580646,4.183870967741935
Afghanistan,2024,11,15.67,27.466666666666665,0.06,4.6466666666666665,2.76
Afghanistan,2024,12,7.174193548387097,22.387096774193548,0.01,4.235483870967743,0.6322580645161291
Afghanistan,2025,1,1.3129032258064517,58.87096774193548,2.31,6.961290322580646,0.8548387096774194
Afghanistan,2025,2,4.789285714285714,47.857142857142854,1.42,7.139285714285714,1.6500000000000001
Afghanistan,2025,3,11.993548387096775,33.03225806451613,1.98,6.32258064516129,3.5580645161290323
Afghanistan,2025,4,22.986666666666668,18.4,0.04,6.613333333333333,7.653333333333333
Afghanistan,2025,5,27.26774193548387,17.483870967741936,4.3500000000000005,10.783870967741937,9.390322580645162
Afghanistan,2025,6,31.013333333333332,13.0,0.06999999999999999,12.126666666666667,10.353333333333333
Afghanistan,2025,7,32.880645161290325,11.741935483870968,0.02,9.67741935483871,10.229032258064517
Afghanistan,2025,8,30.480645161290322,15.35483870967742,0.0,6.870967741935484,10.825806451612904
Afghanistan,2025,9,26.833333333333332,17.266666666666666,0.0,5.503333333333333,8.823333333333332
Afghanistan,2025,10,20.26451612903226,18.258064516129032,0.01,4.380645161290323,6.122580645161291
Afghanistan,2025,11,13.923333333333334,7.9,0.0,4.1433333333333335,4.076666666666666
Afghanistan,2025,12,8.619354838709677,33.74193548387097,0.8,4.006451612903226,2.6129032258064515
Afghanistan,2026,1,1.8266666666666667,47.06666666666667,2.52,4.8566666666666665,2.92
Afghanistan,2026,2,1.4428571428571428,63.285714285714285,0.46,5.614285714285714,3.6285714285714286
Albania,2024,5,25.647058823529413,57.529411764705884,5.02,13.076470588235294,5.411764705882353
Albania,2024,6,30.84333333333333,45.766666666666666,1.6,14.346666666666666,7.133333333333334
Albania,2024,7,34.63793103448276,37.0,3.17,18.78965517241379,8.172413793103448
Albania,2024,8,34.980645161290326,32.12903225806452,0.69,18.125806451612902,8.129032258064516
Albania,2024,9,27.516666666666666,48.266666666666666,11.68,9.120000000000001,6.133333333333334
Albania,2024,10,21.835483870967742,56.806451612903224,4.39,6.135483870967741,3.1580645161290324
Albania,2024,11,13.783333333333333,59.13333333333333,2.59,6.133333333333334,1.21
Albania,2024,12,11.741935483870968,62.58064516129032,9.71,6.77741935483871,1.1064516129032258
Albania,2025,1,13.425806451612903,58.96774193548387,3.2799999999999994,6.280645161290322,1.4161290322580644
Albania,2025,2,12.428571428571429,52.42857142857143,0.5700000000000001,5.175,1.842857142857143
Albania,2025,3,16.067741935483873,51.61290322580645,7.45,7.719354838709678,2.638709677419355
Albania,2025,4,18.403333333333332,49.833333333333336,4.32,8.13,4.16
Albania,2025,5,21.664516129032258,50.96774193548387,6.58,8.22258064516129,4.767741935483872
Albania,2025,6,29.323333333333334,38.36666666666667,0.0,7.836666666666667,6.5600000000000005
Albania,2025,7,30.361290322580647,36.58064516129032,0.45999999999999996,12.077419354838709,5.948387096774193
Albania,2025,8,28.22258064516129,44.32258064516129,0.27,8.916129032258064,4.312903225806451
Albania,2025,9,23.373333333333335,60.266666666666666,0.82,6.223333333333333,2.6599999999999997
Albania,2025,10,15.170967741935485,71.3225806451613,2.5300000000000002,5.829032258064516,0.8290322580645161
Albania,2025,11,12.423333333333334,81.26666666666667,13.68,6.506666666666666,0.32
Albania,2025,12,5.306451612903226,82.45161290322581,0.030000000000000002,5.903225806451613,0.17419354838709677
Albania,2026,1,6.609999999999999,76.73333333333333,9.11,9.173333333333334,0.14333333333333334
Albania,2026,2,8.085714285714285,82.0,0.77,7.585714285714286,0.15714285714285717
Algeria,2024,5,26.11764705882353,45.705882352941174,0.01,22.61764705882353,6.0
Algeria,2024,6,27.89,46.733333333333334,0.0,23.71333333333333,6.6
Algeria,2024,7,30.29642857142857,53.82142857142857,0.0,16.84642857142857,7.321428571428571
Algeria,2024,8,31.483870967741936,51.74193548387097,0.0,17.580645161290324,7.419354838709677
Algeria,2024,9,28.43,50.63333333333333,0.55,15.01,6.533333333333333
Algeria,2024,10,23.76774193548387,62.12903225806452,0.78,10.425806451612903,2.8451612903225807
Algeria,2024,11,19.44333333333333,66.3,2.57,9.496666666666666,0.9833333333333333
Algeria,2024,12,14.748387096774193,61.58064516129032,1.87,10.332258064516129,1.3741935483870968
Algeria,2025,1,15.019354838709678,63.03225806451613,3.11,13.22258064516129,1.493548387096774
Algeria,2025,2,15.424999999999999,65.78571428571429,1.4200000000000002,7.921428571428572,2.1964285714285716
