year,month,temperature_celsius,precip_mm,wind_kph,humidity
2024,5,25.151744009705794,0.16039733090688507,14.248528965726418,59.80649074916591
2024,6,26.456633356305993,0.15676085458304617,14.108873190902825,58.788249483115095
2024,7,26.800447948396343,0.163338111449561,13.979537717254972,59.40619960580541
2024,8,26.789677419354838,0.16675599669148056,13.91564929693962,59.690984284532675
2024,9,25.12440232240437,0.16712090163934426,13.23598019125683,63.31813524590164
2024,10,22.335382059800665,0.1257591362126246,12.237375415282392,66.67890365448505
2024,11,19.424565927454015,0.1357555440948943,12.148272305312016,67.93037648272305
2024,12,17.751894127377998,0.11105045492142265,13.06569065343259,65.7808105872622
2025,1,17.392439633638634,0.12538551207327225,13.005262281432142,67.1255620316403
2025,2,17.4274926686217,0.11012646627565983,13.334695747800588,66.10520527859238
2025,3,20.095298791590796,0.13108425757324946,13.267720576063565,64.14434696242344
2025,4,21.96505982905983,0.1295128205128205,13.304376068376069,63.02735042735043
2025,5,23.30779824124772,0.1472390907582545,13.325070516011282,63.686908909905426
2025,6,24.95810810810811,0.12288060212110845,13.767310981867944,62.981696886760176
2025,7,25.298030453492224,0.17079278384640847,13.44882489241973,65.01142005958292
2025,8,24.706055592322965,0.14047650562541364,12.650479814692257,66.19523494374586
2025,9,23.37191722250727,0.1388113562510689,12.325397639815291,69.12433726697452
2025,10,20.8722700198544,0.13123097286565188,11.935158835208473,71.04119788219722
2025,11,18.367749102717482,0.13679029225773373,11.480840881900528,72.55204238591693
2025,12,16.252224979321753,0.1113085194375517,11.9216211745244,75.40198511166253
2026,1,14.713649597533824,0.11940572015756123,12.50676485699606,73.64497345435862
2026,2,15.475410677618068,0.09553388090349076,12.188141683778234,74.01745379876797
